"personId","last_name","first_name","wealth_millions","conglomorate","industry","birth_date","gender","cityID","citizenshipID","name_suffix"
"1","Arnault","Bernard","211000","1","Fashion & Retail","3/5/1949","M","492","30",""
"2","Musk","Elon","180000","0","Automotive","6/28/1971","M","28","83",""
"3","Bezos","Jeff","114000","0","Technology","1/12/1964","M","400","83",""
"4","Ellison","Larry","107000","0","Technology","8/17/1944","M","332","83",""
"5","Buffett","Warren","106000","0","Finance & Investments","8/30/1930","M","474","83",""
"6","Gates","Bill","104000","0","Technology","10/28/1955","M","400","83",""
"7","Bloomberg","Michael","94500","0","Media & Entertainment","2/14/1942","M","451","83",""
"8","Slim Helu","Carlos","93000","1","Telecom","1/28/1940","M","408","51",""
"9","Ambani","Mukesh","83400","0","Diversified","4/19/1957","M","431","38",""
"10","Ballmer","Steve","80700","0","Technology","3/24/1956","M","260","83",""
"11","Bettencourt Meyers","Francoise","80500","1","Fashion & Retail","7/10/1953","F","492","30",""
"12","Page","Larry","79200","0","Technology","3/26/1973","M","485","83",""
"13","Ortega","Amancio","77300","0","Fashion & Retail","3/28/1936","M","325","71",""
"14","Brin","Sergey","76000","0","Technology","8/21/1973","M","367","83",""
"15","Zhong","Shanshan","68000","0","Food & Beverage","12/1/1954","M","230","21",""
"16","Zuckerberg","Mark","64400","0","Technology","5/14/1984","M","485","83",""
"17","Koch","Charles","59000","1","Diversified","11/1/1935","M","685","83",""
"18","Koch","Julia","59000","1","Diversified","4/12/1962","F","451","83",""
"19","Walton","Jim","58800","0","Fashion & Retail","6/7/1948","M","49","83",""
"20","Walton","Rob","57600","1","Fashion & Retail","10/27/1944","M","49","83",""
"21","Walton","Alice","56700","0","Fashion & Retail","10/7/1949","F","190","83",""
"22","Thomson","David","54400","1","Media & Entertainment","6/12/1957","M","650","18",""
"23","Dell","Michael","50100","0","Technology","2/23/1965","M","28","83",""
"24","Adani","Gautam","47200","0","Diversified","6/24/1962","M","9","38",""
"25","Knight","Phil","45100","1","Fashion & Retail","2/24/1938","M","247","83",""
"26","Zhang","Yiming","45000","0","Technology","1/1/1984","M","44","21",""
"27","Schwarz","Dieter","42900","0","Fashion & Retail","9/24/1939","M","444","32",""
"28","Pinault","Francois","40100","1","Fashion & Retail","8/21/1936","M","492","30",""
"29","Kuehne","Klaus-Michael","39100","0","Logistics","6/2/1937","M","576","32",""
"30","Ferrero","Giovanni","38900","0","Food & Beverage","9/21/1964","M","85","42",""
"31","Mars","Jacqueline","38300","0","Food & Beverage","10/10/1939","F","641","83",""
"32","Mars","John","38300","0","Food & Beverage","10/15/1935","M","275","83",""
"33","Li","Ka-shing","38000","0","Diversified","6/13/1928","M","657","35",""
"34","Ma","Huateng","35300","0","Technology","10/29/1971","M","589","21",""
"35","Adelson","Miriam","35000","1","Gambling & Casinos","10/10/1945","F","339","83",""
"36","Griffin","Ken","35000","0","Finance & Investments","10/15/1968","M","409","83",""
"37","Mateschitz","Mark","34700","0","Food & Beverage","5/7/1992","M","552","6",""
"38","Zeng","Robin","33400","0","Automotive","1/1/1969","M","460","35",""
