"personId","last_name","first_name","name_suffix","wealth_millions","conglomorate","industry","birth_date","gender","cityID","citizenshipID"
"1","Arnault","Bernard","","211000","1","Fashion & Retail","1949-03-05","M","492","30"
"2","Musk","Elon","","180000","0","Automotive","1971-06-28","M","28","83"
"3","Bezos","Jeff","","114000","0","Technology","1964-01-12","M","400","83"
"4","Ellison","Larry","","107000","0","Technology","1944-08-17","M","332","83"
"5","Buffett","Warren","","106000","0","Finance & Investments","1930-08-30","M","474","83"
"6","Gates","Bill","","104000","0","Technology","1955-10-28","M","400","83"
"7","Bloomberg","Michael","","94500","0","Media & Entertainment","1942-02-14","M","451","83"
"8","Slim Helu","Carlos","","93000","1","Telecom","1940-01-28","M","408","51"
"9","Ambani","Mukesh","","83400","0","Diversified","1957-04-19","M","431","38"
"10","Ballmer","Steve","","80700","0","Technology","1956-03-24","M","260","83"
"11","Bettencourt Meyers","Francoise","","80500","1","Fashion & Retail","1953-07-10","F","492","30"
"12","Page","Larry","","79200","0","Technology","1973-03-26","M","485","83"
"13","Ortega","Amancio","","77300","0","Fashion & Retail","1936-03-28","M","325","71"
"14","Brin","Sergey","","76000","0","Technology","1973-08-21","M","367","83"
"15","Zhong","Shanshan","","68000","0","Food & Beverage","1954-12-01","M","230","21"
"16","Zuckerberg","Mark","","64400","0","Technology","1984-05-14","M","485","83"
"17","Koch","Charles","","59000","1","Diversified","1935-11-01","M","686","83"
"18","Koch","Julia","","59000","1","Diversified","1962-04-12","F","451","83"
"19","Walton","Jim","","58800","0","Fashion & Retail","1948-06-07","M","49","83"
"20","Walton","Rob","","57600","1","Fashion & Retail","1944-10-27","M","49","83"
"21","Walton","Alice","","56700","0","Fashion & Retail","1949-10-07","F","190","83"
"22","Thomson","David","","54400","1","Media & Entertainment","1957-06-12","M","651","18"
"23","Dell","Michael","","50100","0","Technology","1965-02-23","M","28","83"
"24","Adani","Gautam","","47200","0","Diversified","1962-06-24","M","9","38"
"25","Knight","Phil","","45100","1","Fashion & Retail","1938-02-24","M","247","83"
"26","Zhang","Yiming","","45000","0","Technology","1984-01-01","M","44","21"
"27","Schwarz","Dieter","","42900","0","Fashion & Retail","1939-09-24","M","444","32"
"28","Pinault","Francois","","40100","1","Fashion & Retail","1936-08-21","M","492","30"
"29","Kuehne","Klaus-Michael","","39100","0","Logistics","1937-06-02","M","576","32"
"30","Ferrero","Giovanni","","38900","0","Food & Beverage","1964-09-21","M","85","42"
"31","Mars","Jacqueline","","38300","0","Food & Beverage","1939-10-10","F","641","83"
