"countryID","cpi","cpi_change","gdp","grs_trt_enroll","grs_prm_enroll","life_expect","tax_rev","tax_rate","population","latitude","longitude","continent"
"1","151.36","2","170000000000","51.4","109.9","76.7","37.2","66.1","43053054","28.033886","1.659626","Africa"
"2","No CPI info","No CPI info","3154057987","0.0","0.0","83.3","14.2","46.2","77142","42.506285","1.521801","Europe"
"3","232.75","53.5","450000000000","90.0","109.7","76.5","10.1","106.3","44938712","-38.416097","-63.616672","South America"
"4","129.18","1.4","13672802158","54.6","92.7","74.9","20.9","22.6","2957731","40.069099","45.038189","Europe"
"5","119.8","1.6","1390000000000","113.1","100.3","82.7","23.0","47.4","25766605","-25.274398","133.775136","Oceania"
"6","118.06","1.5","446000000000","85.1","103.1","81.6","25.4","51.4","8877067","47.516231","14.550072","Europe"
"7","No CPI info","No CPI info","11527600000","9.6","36.6","71.6","9.6","36.6","407906","25.03428","-77.39628","North America"
"8","117.59","2.1","38574069149","50.5","99.4","77.2","4.2","13.8","1501635","26.0667","50.5577","Asia"
"11","117.11","1.4","530000000000","79.7","103.9","81.6","24.0","55.4","11484055","50.503887","4.469936","Europe"
"13","No CPI info","No CPI info","7127200000","9.6","36.6","79.3","9.6","36.6","63764","32.321384","-64.75737","North America"
"14","167.4","3.7","1840000000000","51.3","115.4","75.7","14.2","65.1","212559417","-14.235004","-51.92528","South America"
"15","No CPI info","No CPI info","1120000000","9.6","36.6","74.5","9.6","36.6","31122","18.420695","-64.639968","North America"
"17","127.63","2.5","27089389787","13.7","107.4","69.6","17.1","23.1","16486542","12.565679","104.990963","Asia"
"18","116.76","1.9","1740000000000","68.9","100.9","81.9","12.8","24.5","36991981","56.130366","-106.346771","North America"
"19","No CPI info","No CPI info","6028373513","9.6","36.6","82.1","9.6","36.6","68136","19.513469","-80.566956","North America"
"20","131.91","2.6","282000000000","88.5","101.4","80.0","18.2","34.0","18952038","-35.675147","-71.542969","South America"
"21","125.08","2.9","19900000000000","50.6","100.2","77.0","9.4","59.2","1397715000","35.86166","104.195397","Asia"
"22","140.95","3.5","324000000000","55.3","114.5","77.1","14.4","71.2","50339443","4.570868","-74.297333","South America"
"23","102.51","0.3","24564647935","75.9","99.3","80.8","24.5","22.4","1198575","35.126413","33.429859","Europe"
"24","116.48","2.8","246000000000","64.1","100.7","79.0","14.9","46.1","10669709","49.817492","15.472962","Europe"
"25","110.35","0.8","348000000000","80.6","101.3","81.0","32.4","23.8","5818553","56.26392","9.501785","Europe"
"26","288.57","9.2","303000000000","35.2","106.3","71.8","12.5","44.4","100388073","26.820553","30.802498","Africa"
"28","No CPI info","No CPI info","4850842571","17.2","39.3","57.1","17.2","39.3","1192271","-26.522503","31.465866","Africa"
"29","112.33","1","269000000000","88.2","100.2","81.7","20.8","36.6","5520314","61.92411","25.748151","Europe"
"30","110.05","1.1","2720000000000","65.6","102.5","82.5","24.2","60.7","67059887","46.227638","2.213749","Europe"
"31","133.61","4.9","17743195770","63.9","98.6","73.6","21.7","9.9","3720382","42.315407","43.356892","Europe"
"32","112.85","1.4","3850000000000","70.2","104.0","80.9","11.5","48.8","83132799","51.165691","10.451526","Europe"
"33","101.87","0.2","210000000000","136.6","99.6","81.3","26.2","51.9","10716322","39.074208","21.824312","Europe"
"34","No CPI info","No CPI info","4143608400","14.2","46.2","81.3","14.2","46.2","63463","49.465691","-2.585278","Europe"
"35","No CPI info","No CPI info","369000000000","9.4","59.2","85.5","9.4","59.2","7413100","22.396428","114.109497","Asia"
"36","121.64","3.3","161000000000","48.5","100.8","75.8","23.0","37.9","9769949","47.162494","19.503304","Europe"
"38","180.44","7.7","2610000000000","28.1","113.0","69.4","11.2","49.7","1366417754","20.593684","78.96288","Asia"
"39","151.18","3","1120000000000","36.3","106.4","71.5","10.2","30.1","270203917","-0.789275","113.921327","Asia"
"40","No CPI info","No CPI info","513000000000","14.2","46.2","82.1","14.2","46.2","5033164","53.41291","-8.24389","Europe"
"41","108.15","0.8","395000000000","63.4","104.9","82.8","23.1","25.3","9053300","31.046051","34.851612","Asia"
"42","110.62","0.6","2000000000000","61.9","101.9","82.9","24.3","59.1","60297396","41.87194","12.56738","Europe"
"43","105.48","0.5","5080000000000","63.2","98.8","84.2","11.9","46.7","126226568","36.204824","138.252924","Asia"
"44","182.75","5.2","180000000000","61.7","104.4","73.2","11.7","28.4","18513930","48.019573","66.923684","Asia"
"45","116.86","2.8","34117202555","88.1","99.4","74.7","22.9","38.1","1912789","56.879635","24.603189","Europe"
"46","130.02","3","53367042272","26.3","95.1","78.9","15.3","32.2","6855713","33.854721","35.862285","Asia"
"47","No CPI info","No CPI info","6552858739","35.6","104.7","83.0","0.0","0.0","38019","47.1410392","9.520935","Europe"
"48","115.09","1.7","71104919108","19.2","102.3","82.1","26.5","20.4","645397","49.815273","6.129583","Europe"
"50","121.46","0.7","365000000000","45.1","105.3","76.0","12.0","38.7","32447385","4.210484","101.975766","Asia"
"51","141.54","3.6","1260000000000","40.2","105.8","75.0","13.1","55.1","126014024","23.634501","-102.552784","North America"
"52","No CPI info","No CPI info","7184844193","14.2","46.2","85.94","14.2","46.2","38964","43.7384176","7.4246158","Europe"
"53","111.07","0.2","119000000000","35.9","113.9","76.5","21.9","45.8","36910560","31.791702","-7.09262","Africa"
"54","188.73","5.6","30641380604","12.4","142.1","70.5","20.7","41.8","28608710","28.394857","84.124008","Asia"
"55","115.91","2.6","909000000000","85.0","104.2","81.8","23.0","41.2","17332850","52.132633","5.291266","Europe"
"56","114.24","1.6","207000000000","82.0","100.0","81.9","29.0","34.6","4841000","-40.900557","174.885971","Oceania"
"57","267.51","11.4","448000000000","10.2","84.7","54.3","1.5","34.8","200963599","9.081999","8.675277","Africa"
"58","120.27","2.2","403000000000","82.0","100.3","82.8","23.9","36.2","5347896","60.472024","8.468946","Europe"
"59","113.53","0.1","76983094928","38.0","103.4","77.6","2.5","27.4","5266535","21.4735329","55.975413","Asia"
"60","129.78","2.1","227000000000","70.7","106.9","76.5","14.3","36.8","32510453","-9.189967","-75.015152","South America"
"61","129.61","2.5","377000000000","35.5","107.5","71.1","14.0","43.1","108116615","12.879721","121.774017","Asia"
"62","114.11","2.2","592000000000","67.8","100.0","77.6","17.4","40.8","37970874","51.919438","19.145136","Europe"
"63","110.62","0.3","238000000000","63.9","106.2","81.3","22.8","39.8","10269417","39.399872","-8.224454","Europe"
"64","115.38","-0.7","183000000000","17.9","103.8","80.1","14.7","11.3","2832067","25.354826","51.183884","Asia"
"65","123.78","3.8","250000000000","49.4","85.2","75.4","14.6","20.0","19356544","45.943161","24.96676","Europe"
"66","180.75","4.5","1700000000000","81.9","102.6","72.7","11.4","46.2","144373535","61.52401","105.318756","Europe"
"67","114.41","0.6","372000000000","84.8","100.6","83.1","13.1","21.0","5703569","1.352083","103.819836","Asia"
"68","115.34","2.7","105000000000","46.6","98.7","77.2","18.7","49.7","5454073","48.669026","19.699024","Europe"
"69","158.93","4.1","351000000000","22.4","100.9","63.9","27.5","29.2","58558270","-30.559482","22.937506","Africa"
