personId,source,sourceID
1,LVMH,370
2,Tesla,689
2,SpaceX,634
3,Amazon,25
4,Oracle,484
5,Berkshire Hathaway,62
6,Microsoft,423
7,Bloomberg LP,76
8,Telecom,681
9,Diversified,187
10,Microsoft,423
11,L'Oreal,367
12,Google,287
13,Zara,757
14,Google,287
15,Beverages,64
15,Pharmaceuticals,517
16,Facebook,229
17,Koch Industries,366
18,Koch Industries,366
19,Walmart,741
20,Walmart,741
21,Walmart,741
22,Media,405
23,Dell Technologies,172
24,Infrastructure,347
24,Commodities,132
25,Nike,456
26,TikTok,694
27,Retail,573
28,Luxury goods,393
29,Shipping,603
30,Nutella,458
30,Chocolates,113
31,Candy,91
31,Pet food,508
32,Candy,91
32,Pet food,508
33,Diversified,187
34,Internet media,353
35,Casinos,99
36,Hedge funds,312
37,Red Bull,568
38,Batteries,54
39,Fashion retail,232
40,Music,441
40,Chemicals,109
41,Chanel,103
42,Chanel,103
43,Shipping,603
44,Shipping,603
45,E-commerce,194
46,Fasteners,236
47,Real estate,560
48,Trading,709
48,Investments,360
49,Hedge funds,312
50,Investments,360
51,BMW,45
51,Pharmaceuticals,517
52,Mining,426
53,Online games,474
54,Mining,426
55,Software services,621
56,Coal,120
57,Discount brokerage,184
58,Fertilizers,240
58,Coal,120
59,BMW,45
60,Amazon,25
61,Banking,49
61,Tobacco,700
62,Metals,419
63,E-commerce,194
64,Home appliances,317
65,Mining,426
66,Banking,49
66,Tobacco,700
67,Chemicals,109
68,Vaccines,725
69,Internet,351
69,Telecom,681
70,Steel,658
70,Transport,711
71,Cheese,105
72,Fidelity,242
73,Gas,278
73,Chemicals,109
74,Walmart,741
75,Package delivery,488
76,Semiconductors,597
77,Estee Lauder,223
78,Sensors,600
79,Steel,658
79,Investments,360
80,Oil,462
81,Hospitals,325
82,Mining,426
83,Hedge funds,312
84,Automobiles,39
85,Mining,426
85,Copper products,153
86,Real estate,560
86,Shipping,603
87,Pig breeding,523
88,Batteries,54
88,Automobiles,39
89,Oil & gas,463
90,Hedge funds,312
91,Oil,462
91,Gas,278
92,Quicken Loans,555
93,Steel,658
94,Hedge funds,312
95,Investments,360
96,Steel,658
97,Real estate,560
98,Home improvement stores,319
99,Newspapers,453
99,TV network,674
100,Banking,49
101,Aldi,21
101,Trader Joe's,708
102,Finance,243
102,Telecommunications,683
103,Medical devices,407
104,H&M,294
105,Google,287
106,Hedge funds,312
107,Soy sauce,632
108,Supermarkets,669
109,Beer,60
110,Real estate,560
111,Pharmaceuticals,517
112,Wireless networking,755
113,Retail,573
113,Investments,360
114,Batteries,54
115,Diversified,187
116,Retail,573
117,Alcohol,19
117,Real estate,560
118,Heineken,313
119,Medical devices,407
120,Automobiles,39
121,Steel,658
121,Telecom,681
121,Investments,360
122,Paints,492
123,Commodities,132
124,Cement,101
124,Sugar,667
125,Real estate,560
126,Shipping,603
127,Hospitals,325
128,Casinos,99
128,Hotels,327
129,Shipping,603
130,Building supplies,83
131,WhatsApp,750
132,Dallas Cowboys,164
133,Oil & gas,463
133,Banking,49
134,Real estate,560
135,Automobiles,39
135,Batteries,54
136,Real estate,560
137,Banking,49
138,Sports,641
138,Real estate,560
139,Oil,462
139,Banking,49
139,Telecom,681
140,Energy,216
141,Coal,120
142,Vaccines,725
143,Auto parts,37
144,Apple,29
144,Disney,185
145,Palm oil,493
145,Shipping,603
145,Property,550
146,Real estate,560
147,Messaging app,416
148,Pharmaceuticals,517
149,Pharmaceuticals,517
150,Agribusiness,8
151,Online retail,478
152,Hedge funds,312
153,Fertilizer,239
153,Real estate,560
154,Manufacturing,397
155,Investments,360
156,Luxury goods,393
157,Luxury goods,393
158,Video surveillance,734
159,Internet media,353
160,Energy,216
160,Sports,641
160,Entertainment,221
161,Gas stations,279
162,Retail,573
162,Media,405
