"countryid","name","continent","latitude","longitude"
"1","Algeria","Africa","28.033886","1.659626"
"2","Andorra","Europe","42.506285","1.521801"
"3","Argentina","South America","-38.416097","-63.616672"
"4","Armenia","Europe","40.069099","45.038189"
"5","Australia","Oceania","-25.274398","133.775136"
"6","Austria","Europe","47.516231","14.550072"
"7","Bahamas","North America","25.03428","-77.39628"
"8","Bahrain","Asia","26.0667","50.5577"
"11","Belgium","Europe","50.503887","4.469936"
"13","Bermuda","North America","32.321384","-64.75737"
"14","Brazil","South America","-14.235004","-51.92528"
"15","British Virgin Islands","North America","18.420695","-64.639968"
"17","Cambodia","Asia","12.565679","104.990963"
"18","Canada","North America","56.130366","-106.346771"
"19","Cayman Islands","North America","19.513469","-80.566956"
"20","Chile","South America","-35.675147","-71.542969"
"21","China","Asia","35.86166","104.195397"
"22","Colombia","South America","4.570868","-74.297333"
"23","Cyprus","Europe","35.126413","33.429859"
"24","Czech Republic","Europe","49.817492","15.472962"
"25","Denmark","Europe","56.26392","9.501785"
"26","Egypt","Africa","26.820553","30.802498"
"28","Eswatini (Swaziland)","Africa","-26.522503","31.465866"
"29","Finland","Europe","61.92411","25.748151"
"30","France","Europe","46.227638","2.213749"
"31","Georgia","Europe","42.315407","43.356892"
"32","Germany","Europe","51.165691","10.451526"
"33","Greece","Europe","39.074208","21.824312"
"34","Guernsey","Europe","49.465691","-2.585278"
"35","Hong Kong","Asia","22.396428","114.109497"
"36","Hungary","Europe","47.162494","19.503304"
"38","India","Asia","20.593684","78.96288"
"39","Indonesia","Asia","-0.789275","113.921327"
"40","Ireland","Europe","53.41291","-8.24389"
"41","Israel","Asia","31.046051","34.851612"
"42","Italy","Europe","41.87194","12.56738"
"43","Japan","Asia","36.204824","138.252924"
"44","Kazakhstan","Asia","48.019573","66.923684"
"45","Latvia","Europe","56.879635","24.603189"
"46","Lebanon","Asia","33.854721","35.862285"
"47","Liechtenstein","Europe","47.1410392","9.520935"
"48","Luxembourg","Europe","49.815273","6.129583"
"50","Malaysia","Asia","4.210484","101.975766"
"51","Mexico","North America","23.634501","-102.552784"
"52","Monaco","Europe","43.7384176","7.4246158"
"53","Morocco","Africa","31.791702","-7.09262"
"54","Nepal","Asia","28.394857","84.124008"
"55","Netherlands","Europe","52.132633","5.291266"
"56","New Zealand","Oceania","-40.900557","174.885971"
"57","Nigeria","Africa","9.081999","8.675277"
"58","Norway","Europe","60.472024","8.468946"
"59","Oman","Asia","21.4735329","55.975413"
"60","Peru","South America","-9.189967","-75.015152"
"61","Philippines","Asia","12.879721","121.774017"
"62","Poland","Europe","51.919438","19.145136"
"63","Portugal","Europe","39.399872","-8.224454"
"64","Qatar","Asia","25.354826","51.183884"
"65","Romania","Europe","45.943161","24.96676"
"66","Russia","Europe","61.52401","105.318756"
"67","Singapore","Asia","1.352083","103.819836"
"68","Slovakia","Europe","48.669026","19.699024"
"69","South Africa","Africa","-30.559482","22.937506"
"70","South Korea","Asia","35.907757","127.766922"
"71","Spain","Europe","40.463667","-3.74922"
"73","Sweden","Europe","60.128161","18.643501"
"74","Switzerland","Europe","46.818188","8.227512"
"75","Taiwan","Asia","23.69781","120.960515"
"76","Tanzania","Africa","-6.369028","34.888822"
"77","Thailand","Asia","15.870032","100.992541"
"78","Turkey","Asia","38.963745","35.243322"
"79","Turks and Caicos Islands","North America","21.694025","-71.797928"
"80","Ukraine","Europe","48.379433","31.16558"
"81","United Arab Emirates","Asia","23.424076","53.847818"
"82","United Kingdom","Europe","55.378051","-3.435973"
"83","United States","North America","37.09024","-95.712891"
"84","Uruguay","South America","-32.522779","-55.765835"
"85","Uzbekistan","Asia","41.377491","64.585262"
"87","Vietnam","Asia","14.058324","108.277199"
